energy,intensity,id,type
3.45,188,11_spectrum_34,aggregate_in_rock
3.46,196,11_spectrum_34,aggregate_in_rock
3.47,210,11_spectrum_34,aggregate_in_rock
3.48,212,11_spectrum_34,aggregate_in_rock
3.49,206,11_spectrum_34,aggregate_in_rock
3.5,190,11_spectrum_34,aggregate_in_rock
3.51,198,11_spectrum_34,aggregate_in_rock
3.52,215,11_spectrum_34,aggregate_in_rock
3.53,214,11_spectrum_34,aggregate_in_rock
3.54,214,11_spectrum_34,aggregate_in_rock
3.55,226,11_spectrum_34,aggregate_in_rock
3.56,235,11_spectrum_34,aggregate_in_rock
3.57,252,11_spectrum_34,aggregate_in_rock
3.58,270,11_spectrum_34,aggregate_in_rock
3.59,350,11_spectrum_34,aggregate_in_rock
3.6,486,11_spectrum_34,aggregate_in_rock
3.61,644,11_spectrum_34,aggregate_in_rock
3.62,842,11_spectrum_34,aggregate_in_rock
3.63,1123,11_spectrum_34,aggregate_in_rock
3.64,1424,11_spectrum_34,aggregate_in_rock
3.65,1771,11_spectrum_34,aggregate_in_rock
3.66,2148,11_spectrum_34,aggregate_in_rock
3.67,2456,11_spectrum_34,aggregate_in_rock
3.68,2676,11_spectrum_34,aggregate_in_rock
3.69,2732,11_spectrum_34,aggregate_in_rock
3.7,2681,11_spectrum_34,aggregate_in_rock
3.71,2644,11_spectrum_34,aggregate_in_rock
3.72,2496,11_spectrum_34,aggregate_in_rock
3.73,2170,11_spectrum_34,aggregate_in_rock
3.74,1820,11_spectrum_34,aggregate_in_rock
3.75,1508,11_spectrum_34,aggregate_in_rock
3.76,1185,11_spectrum_34,aggregate_in_rock
3.77,885,11_spectrum_34,aggregate_in_rock
3.78,641,11_spectrum_34,aggregate_in_rock
3.79,474,11_spectrum_34,aggregate_in_rock
3.8,389,11_spectrum_34,aggregate_in_rock
3.81,290,11_spectrum_34,aggregate_in_rock
3.82,226,11_spectrum_34,aggregate_in_rock
3.83,210,11_spectrum_34,aggregate_in_rock
3.84,182,11_spectrum_34,aggregate_in_rock
3.85,168,11_spectrum_34,aggregate_in_rock
3.86,177,11_spectrum_34,aggregate_in_rock
3.87,177,11_spectrum_34,aggregate_in_rock
3.88,181,11_spectrum_34,aggregate_in_rock
3.89,175,11_spectrum_34,aggregate_in_rock
3.9,178,11_spectrum_34,aggregate_in_rock
3.91,193,11_spectrum_34,aggregate_in_rock
3.92,221,11_spectrum_34,aggregate_in_rock
3.93,243,11_spectrum_34,aggregate_in_rock
3.94,255,11_spectrum_34,aggregate_in_rock
3.95,299,11_spectrum_34,aggregate_in_rock
3.96,345,11_spectrum_34,aggregate_in_rock
3.97,357,11_spectrum_34,aggregate_in_rock
3.98,406,11_spectrum_34,aggregate_in_rock
3.99,450,11_spectrum_34,aggregate_in_rock
4,445,11_spectrum_34,aggregate_in_rock
4.01,450,11_spectrum_34,aggregate_in_rock
4.02,458,11_spectrum_34,aggregate_in_rock
4.03,458,11_spectrum_34,aggregate_in_rock
4.04,439,11_spectrum_34,aggregate_in_rock
4.05,406,11_spectrum_34,aggregate_in_rock
4.06,371,11_spectrum_34,aggregate_in_rock
4.07,320,11_spectrum_34,aggregate_in_rock
4.08,275,11_spectrum_34,aggregate_in_rock
4.09,247,11_spectrum_34,aggregate_in_rock
4.1,218,11_spectrum_34,aggregate_in_rock
4.11,179,11_spectrum_34,aggregate_in_rock
4.12,146,11_spectrum_34,aggregate_in_rock
4.13,130,11_spectrum_34,aggregate_in_rock
4.14,138,11_spectrum_34,aggregate_in_rock
4.15,129,11_spectrum_34,aggregate_in_rock
4.16,125,11_spectrum_34,aggregate_in_rock
4.17,137,11_spectrum_34,aggregate_in_rock
4.18,125,11_spectrum_34,aggregate_in_rock
4.19,124,11_spectrum_34,aggregate_in_rock
4.2,123,11_spectrum_34,aggregate_in_rock
4.21,122,11_spectrum_34,aggregate_in_rock
4.22,119,11_spectrum_34,aggregate_in_rock
4.23,113,11_spectrum_34,aggregate_in_rock
4.24,124,11_spectrum_34,aggregate_in_rock
4.25,135,11_spectrum_34,aggregate_in_rock
4.26,125,11_spectrum_34,aggregate_in_rock
4.27,124,11_spectrum_34,aggregate_in_rock
4.28,121,11_spectrum_34,aggregate_in_rock
4.29,127,11_spectrum_34,aggregate_in_rock
4.3,130,11_spectrum_34,aggregate_in_rock
4.31,135,11_spectrum_34,aggregate_in_rock
4.32,130,11_spectrum_34,aggregate_in_rock
4.33,112,11_spectrum_34,aggregate_in_rock
4.34,109,11_spectrum_34,aggregate_in_rock
4.35,117,11_spectrum_34,aggregate_in_rock
4.36,120,11_spectrum_34,aggregate_in_rock
4.37,122,11_spectrum_34,aggregate_in_rock
4.38,119,11_spectrum_34,aggregate_in_rock
4.39,119,11_spectrum_34,aggregate_in_rock
4.4,105,11_spectrum_34,aggregate_in_rock
4.41,115,11_spectrum_34,aggregate_in_rock
4.42,119,11_spectrum_34,aggregate_in_rock
4.43,112,11_spectrum_34,aggregate_in_rock
4.44,110,11_spectrum_34,aggregate_in_rock
4.45,109,11_spectrum_34,aggregate_in_rock
4.46,115,11_spectrum_34,aggregate_in_rock
4.47,111,11_spectrum_34,aggregate_in_rock
4.48,112,11_spectrum_34,aggregate_in_rock
4.49,113,11_spectrum_34,aggregate_in_rock
4.5,120,11_spectrum_34,aggregate_in_rock
4.51,126,11_spectrum_34,aggregate_in_rock
4.52,122,11_spectrum_34,aggregate_in_rock
4.53,114,11_spectrum_34,aggregate_in_rock
4.54,113,11_spectrum_34,aggregate_in_rock
4.55,114,11_spectrum_34,aggregate_in_rock
4.56,121,11_spectrum_34,aggregate_in_rock
4.57,119,11_spectrum_34,aggregate_in_rock
4.58,109,11_spectrum_34,aggregate_in_rock
4.59,113,11_spectrum_34,aggregate_in_rock
4.6,111,11_spectrum_34,aggregate_in_rock
4.61,96,11_spectrum_34,aggregate_in_rock
4.62,98,11_spectrum_34,aggregate_in_rock
4.63,113,11_spectrum_34,aggregate_in_rock
4.64,108,11_spectrum_34,aggregate_in_rock
4.65,100,11_spectrum_34,aggregate_in_rock
4.66,98,11_spectrum_34,aggregate_in_rock
4.67,105,11_spectrum_34,aggregate_in_rock
4.68,112,11_spectrum_34,aggregate_in_rock
4.69,117,11_spectrum_34,aggregate_in_rock
4.7,117,11_spectrum_34,aggregate_in_rock
4.71,109,11_spectrum_34,aggregate_in_rock
4.72,101,11_spectrum_34,aggregate_in_rock
4.73,89,11_spectrum_34,aggregate_in_rock
4.74,91,11_spectrum_34,aggregate_in_rock
4.75,80,11_spectrum_34,aggregate_in_rock
4.76,77,11_spectrum_34,aggregate_in_rock
4.77,95,11_spectrum_34,aggregate_in_rock
4.78,96,11_spectrum_34,aggregate_in_rock
4.79,97,11_spectrum_34,aggregate_in_rock
4.8,95,11_spectrum_34,aggregate_in_rock
4.81,98,11_spectrum_34,aggregate_in_rock
4.82,93,11_spectrum_34,aggregate_in_rock
4.83,83,11_spectrum_34,aggregate_in_rock
4.84,94,11_spectrum_34,aggregate_in_rock
4.85,91,11_spectrum_34,aggregate_in_rock
4.86,92,11_spectrum_34,aggregate_in_rock
4.87,99,11_spectrum_34,aggregate_in_rock
4.88,90,11_spectrum_34,aggregate_in_rock
4.89,95,11_spectrum_34,aggregate_in_rock
4.9,93,11_spectrum_34,aggregate_in_rock
4.91,83,11_spectrum_34,aggregate_in_rock
4.92,92,11_spectrum_34,aggregate_in_rock
4.93,94,11_spectrum_34,aggregate_in_rock
4.94,94,11_spectrum_34,aggregate_in_rock
4.95,100,11_spectrum_34,aggregate_in_rock
4.96,107,11_spectrum_34,aggregate_in_rock
4.97,102,11_spectrum_34,aggregate_in_rock
4.98,89,11_spectrum_34,aggregate_in_rock
4.99,99,11_spectrum_34,aggregate_in_rock
5,94,11_spectrum_34,aggregate_in_rock
5.01,85,11_spectrum_34,aggregate_in_rock
5.02,90,11_spectrum_34,aggregate_in_rock
5.03,94,11_spectrum_34,aggregate_in_rock
5.04,87,11_spectrum_34,aggregate_in_rock
5.05,85,11_spectrum_34,aggregate_in_rock
5.06,89,11_spectrum_34,aggregate_in_rock
5.07,84,11_spectrum_34,aggregate_in_rock
5.08,86,11_spectrum_34,aggregate_in_rock
5.09,83,11_spectrum_34,aggregate_in_rock
5.1,76,11_spectrum_34,aggregate_in_rock
5.11,81,11_spectrum_34,aggregate_in_rock
5.12,84,11_spectrum_34,aggregate_in_rock
5.13,89,11_spectrum_34,aggregate_in_rock
5.14,88,11_spectrum_34,aggregate_in_rock
5.15,79,11_spectrum_34,aggregate_in_rock
5.16,79,11_spectrum_34,aggregate_in_rock
5.17,98,11_spectrum_34,aggregate_in_rock
5.18,90,11_spectrum_34,aggregate_in_rock
5.19,82,11_spectrum_34,aggregate_in_rock
5.2,83,11_spectrum_34,aggregate_in_rock
5.21,74,11_spectrum_34,aggregate_in_rock
5.22,76,11_spectrum_34,aggregate_in_rock
5.23,80,11_spectrum_34,aggregate_in_rock
5.24,88,11_spectrum_34,aggregate_in_rock
5.25,97,11_spectrum_34,aggregate_in_rock
5.26,86,11_spectrum_34,aggregate_in_rock
5.27,76,11_spectrum_34,aggregate_in_rock
5.28,88,11_spectrum_34,aggregate_in_rock
5.29,94,11_spectrum_34,aggregate_in_rock
5.3,88,11_spectrum_34,aggregate_in_rock
5.31,78,11_spectrum_34,aggregate_in_rock
5.32,71,11_spectrum_34,aggregate_in_rock
5.33,79,11_spectrum_34,aggregate_in_rock
5.34,90,11_spectrum_34,aggregate_in_rock
5.35,96,11_spectrum_34,aggregate_in_rock
