Raman_shift,Intensity,Sample,Location,Age,Orgs,Type
1961.804688,2213.842529,BC4_3,Bear Creek,Eocene,Yes,Ancient
1960.130859,2282.302002,BC4_3,Bear Creek,Eocene,Yes,Ancient
1958.457031,1222.555054,BC4_3,Bear Creek,Eocene,Yes,Ancient
1956.78125,1753.258789,BC4_3,Bear Creek,Eocene,Yes,Ancient
1955.107422,5866.972656,BC4_3,Bear Creek,Eocene,Yes,Ancient
1953.431641,4463.585449,BC4_3,Bear Creek,Eocene,Yes,Ancient
1951.755859,1789.976074,BC4_3,Bear Creek,Eocene,Yes,Ancient
1950.078125,1104.206665,BC4_3,Bear Creek,Eocene,Yes,Ancient
1948.402344,1240.513672,BC4_3,Bear Creek,Eocene,Yes,Ancient
1946.724609,1641.11853,BC4_3,Bear Creek,Eocene,Yes,Ancient
1945.048828,1035.089966,BC4_3,Bear Creek,Eocene,Yes,Ancient
1943.371094,54.638821,BC4_3,Bear Creek,Eocene,Yes,Ancient
1941.691406,1104.052612,BC4_3,Bear Creek,Eocene,Yes,Ancient
1940.013672,1115.838745,BC4_3,Bear Creek,Eocene,Yes,Ancient
1938.335938,3000.265137,BC4_3,Bear Creek,Eocene,Yes,Ancient
1936.65625,211.102112,BC4_3,Bear Creek,Eocene,Yes,Ancient
1934.976563,1369.044434,BC4_3,Bear Creek,Eocene,Yes,Ancient
1933.296875,-1718.269409,BC4_3,Bear Creek,Eocene,Yes,Ancient
1931.615234,-2641.400635,BC4_3,Bear Creek,Eocene,Yes,Ancient
1929.935547,2993.098877,BC4_3,Bear Creek,Eocene,Yes,Ancient
1928.253906,1052.26062,BC4_3,Bear Creek,Eocene,Yes,Ancient
1926.572266,5917.387695,BC4_3,Bear Creek,Eocene,Yes,Ancient
1924.890625,1447.622925,BC4_3,Bear Creek,Eocene,Yes,Ancient
1923.208984,2081.944092,BC4_3,Bear Creek,Eocene,Yes,Ancient
1921.527344,3249.643311,BC4_3,Bear Creek,Eocene,Yes,Ancient
1919.84375,-2004.902344,BC4_3,Bear Creek,Eocene,Yes,Ancient
1918.160156,-249.651184,BC4_3,Bear Creek,Eocene,Yes,Ancient
1916.476563,-1824.847046,BC4_3,Bear Creek,Eocene,Yes,Ancient
1914.792969,-2253.107178,BC4_3,Bear Creek,Eocene,Yes,Ancient
1913.109375,292.575836,BC4_3,Bear Creek,Eocene,Yes,Ancient
1911.423828,613.719177,BC4_3,Bear Creek,Eocene,Yes,Ancient
1909.738281,-4080.934814,BC4_3,Bear Creek,Eocene,Yes,Ancient
1908.052734,2139.405273,BC4_3,Bear Creek,Eocene,Yes,Ancient
1906.367188,-905.474182,BC4_3,Bear Creek,Eocene,Yes,Ancient
1904.681641,-1570.258057,BC4_3,Bear Creek,Eocene,Yes,Ancient
1902.994141,-439.804291,BC4_3,Bear Creek,Eocene,Yes,Ancient
1901.306641,-3277.131104,BC4_3,Bear Creek,Eocene,Yes,Ancient
1899.621094,-1377.857788,BC4_3,Bear Creek,Eocene,Yes,Ancient
1897.931641,-7751.486816,BC4_3,Bear Creek,Eocene,Yes,Ancient
1896.244141,-1604.872803,BC4_3,Bear Creek,Eocene,Yes,Ancient
1894.556641,-3262.071777,BC4_3,Bear Creek,Eocene,Yes,Ancient
1892.867188,-2619.729736,BC4_3,Bear Creek,Eocene,Yes,Ancient
1891.177734,-2035.675049,BC4_3,Bear Creek,Eocene,Yes,Ancient
1889.488281,-811.725891,BC4_3,Bear Creek,Eocene,Yes,Ancient
1887.798828,2056.296143,BC4_3,Bear Creek,Eocene,Yes,Ancient
1886.107422,1324.218262,BC4_3,Bear Creek,Eocene,Yes,Ancient
1884.417969,1053.293091,BC4_3,Bear Creek,Eocene,Yes,Ancient
1882.726563,2973.225586,BC4_3,Bear Creek,Eocene,Yes,Ancient
1881.035156,441.729218,BC4_3,Bear Creek,Eocene,Yes,Ancient
1879.34375,2720.685791,BC4_3,Bear Creek,Eocene,Yes,Ancient
1877.650391,2975.105469,BC4_3,Bear Creek,Eocene,Yes,Ancient
1875.958984,-2910.552979,BC4_3,Bear Creek,Eocene,Yes,Ancient
1874.265625,-2406.671387,BC4_3,Bear Creek,Eocene,Yes,Ancient
1872.572266,-514.219604,BC4_3,Bear Creek,Eocene,Yes,Ancient
1870.878906,-1600.487305,BC4_3,Bear Creek,Eocene,Yes,Ancient
1869.183594,-2769.598877,BC4_3,Bear Creek,Eocene,Yes,Ancient
1867.490234,-109.081329,BC4_3,Bear Creek,Eocene,Yes,Ancient
1865.794922,-352.695465,BC4_3,Bear Creek,Eocene,Yes,Ancient
1864.099609,251.838577,BC4_3,Bear Creek,Eocene,Yes,Ancient
1862.404297,1930.214111,BC4_3,Bear Creek,Eocene,Yes,Ancient
1860.707031,-2051.4375,BC4_3,Bear Creek,Eocene,Yes,Ancient
1859.011719,-2721.217529,BC4_3,Bear Creek,Eocene,Yes,Ancient
1857.314453,1742.779663,BC4_3,Bear Creek,Eocene,Yes,Ancient
