ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
TB5S1,,7L,Ancient seep carbonate,Ancient seep carbonate,-22.70980307,2.4,1.181948458,,y,,Tepee Buttes,2021_03,,n,NanoSIMS
10860,c,8,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-52.08565584,1.733693442,0.866846721,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,8b,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-57.07056417,1.377184316,0.688592158,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,21,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-65.75917283,0.649415457,0.324707728,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,20,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-37.1433534,0.857632342,0.428816171,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,3,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-42.92094317,1.327529953,0.663764976,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,5,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-43.34301624,1.649021767,0.824510884,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,6,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-50.84987944,1.43325761,0.716628805,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,7,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-38.32596215,1.549887993,0.774943996,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,23,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-90.30711227,2.901270114,1.450635057,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
